state,st_abb,date,tmin,tmax,tavg,ppt,coal,natural gas,petroleum coke,petroleum liquids
Alabama,AL,2001-05-01,58.0874,83.0192,70.55420000000001,97.517,2843.0,221.859,0.0,16.456
Arkansas,AR,2001-05-01,58.9208,81.5126,70.2176,142.055,1190.0,55.917,0.0,12.104000000000001
Arizona,AZ,2001-05-01,53.6,87.23479999999999,70.4174,8.866,1820.0,404.001,0.0,6.936000000000001
California,CA,2001-05-01,52.3922,83.0516,67.7228,3.821,150.0,2679.291,79.0,35.496
Colorado,CO,2001-05-01,39.0776,67.1936,53.135600000000004,65.046,1740.0,200.043,0.0,9.112
Connecticut,CT,2001-05-01,47.786,70.4768,59.1314,108.506,131.0,46.629,0.0,88.4
Delaware,DE,2001-05-01,52.844,73.34960000000001,63.0968,97.89,127.0,25.893,0.0,50.592000000000006
Florida,FL,2001-05-01,62.27419999999999,86.4428,74.35940000000001,55.508,2446.0,828.468,52.0,792.4720000000001
Georgia,GA,2001-05-01,57.7778,83.3612,70.5704,62.197,2703.0,107.379,19.0,35.36
Iowa,IA,2001-05-01,50.946799999999996,70.8656,60.9062,177.572,1834.0,37.044,1.0,3.672
Idaho,ID,2001-05-01,36.7952,66.4538,51.6254,32.228,13.0,15.498,0.0,0.136
Illinois,IL,2001-05-01,53.609,75.7688,64.688,105.816,3783.0,133.488,1.0,7.6160000000000005
Indiana,IN,2001-05-01,52.8908,75.5132,64.202,106.266,4387.0,68.283,0.0,9.248000000000001
Kansas,KS,2001-05-01,52.6496,77.2448,64.9472,131.672,1608.0,36.693,0.0,13.736
Kentucky,KY,2001-05-01,54.8942,77.9702,66.4322,112.499,3262.0,13.068,0.0,2.176
Louisiana,LA,2001-05-01,63.6584,85.28,74.4692,45.714,1281.0,1142.073,48.0,15.368
Massachusetts,MA,2001-05-01,46.3748,69.0836,57.729200000000006,80.337,263.0,209.57399999999998,0.0,149.872
Maryland,MD,2001-05-01,51.6146,73.7474,62.681000000000004,110.74,853.0,34.614,0.0,57.528000000000006
Maine,ME,2001-05-01,41.041399999999996,67.8254,54.4334,49.777,33.0,176.634,0.0,58.072
Michigan,MI,2001-05-01,46.2992,68.3204,57.3098,117.379,2773.0,228.798,0.0,13.328000000000001
Minnesota,MN,2001-05-01,45.9122,67.2872,56.5988,105.129,1316.0,47.25,4.0,6.256
Missouri,MO,2001-05-01,55.2866,76.7174,66.002,137.539,2881.0,59.103,17.0,3.128
Mississippi,MS,2001-05-01,59.6714,83.975,71.8232,77.007,538.0,313.902,0.0,167.008
Montana,MT,2001-05-01,38.147,67.31960000000001,52.7342,23.446,662.0,1.6199999999999999,22.0,0.0
North Carolina,NC,2001-05-01,54.663799999999995,78.5372,66.59960000000001,83.866,2286.0,17.253,0.0,29.92
North Dakota,ND,2001-05-01,43.4876,68.5994,56.0444,46.309,1909.0,0.27,0.0,1.7680000000000002
Nebraska,NE,2001-05-01,47.8022,71.76559999999999,59.784800000000004,109.33,931.0,9.261,0.0,1.496
New Hampshire,NH,2001-05-01,42.2042,68.1188,55.1624,47.73,57.0,8.829,0.0,17.408
New Jersey,NJ,2001-05-01,50.8352,72.5936,61.7144,82.068,360.0,332.667,0.0,26.248
New Mexico,NM,2001-05-01,46.788799999999995,79.4192,63.104,24.66,1481.0,149.391,0.0,2.72
Nevada,NV,2001-05-01,44.3624,77.5724,60.9674,3.615,698.0,235.305,0.0,32.776
New York,NY,2001-05-01,45.4244,68.5184,56.9714,74.752,746.0,787.401,0.0,360.264
Ohio,OH,2001-05-01,51.0188,72.419,61.7198,137.353,4396.0,51.461999999999996,0.0,12.920000000000002
Oklahoma,OK,2001-05-01,57.101,80.29220000000001,68.6966,184.359,1766.0,360.99,0.0,4.488
Oregon,OR,2001-05-01,38.7554,69.638,54.1958,40.187,130.0,165.24,0.0,0.0
Pennsylvania,PA,2001-05-01,46.7258,70.2842,58.505,77.783,3895.0,57.375,27.0,64.05600000000001
Rhode Island,RI,2001-05-01,48.846199999999996,69.1898,59.018,99.659,0.0,138.078,0.0,4.896000000000001
South Carolina,SC,2001-05-01,57.596000000000004,83.61319999999999,70.6046,59.883,1236.0,10.422,0.0,7.6160000000000005
South Dakota,SD,2001-05-01,46.2308,69.8216,58.0262,60.466,152.0,17.604,0.0,1.088
Tennessee,TN,2001-05-01,55.112,78.56960000000001,66.8408,113.984,2307.0,20.384999999999998,0.0,13.056000000000001
Texas,TX,2001-05-01,61.4606,86.225,73.8428,72.098,8164.0,4701.861,58.0,8.976
Utah,UT,2001-05-01,43.897999999999996,73.97240000000001,58.9352,15.143,1259.0,53.73,0.0,1.2240000000000002
Virginia,VA,2001-05-01,51.3176,75.137,63.2264,125.203,1235.0,39.69,0.0,63.648
Vermont,VT,2001-05-01,42.9368,67.514,55.2254,65.991,0.0,1.458,0.0,0.544
Washington,WA,2001-05-01,39.587,65.1056,52.3472,60.413,293.0,269.217,0.0,4.6240000000000006
Wisconsin,WI,2001-05-01,46.2092,68.0216,57.1154,122.836,1992.0,46.683,16.0,5.304
West Virginia,WV,2001-05-01,48.543800000000005,72.71600000000001,60.629,167.804,2749.0,16.416,0.0,3.672
